no,year ,code,type,x,y,elv,aq,ec,ph,hard,tds,temp,eh,Q,Ca,Mg,Fe,Mn,K,Na,CO3,HCO3,CO2,Cl,SO4,NO2,NO3,SiO2,cumrain,lag1
1,1997,115809,groundwater,785175.20988402,10752835.898066,1338,tuffsand,71.9,6.89,11,58.67,21,7,1,1.8,1.7,0.08,0.22,1.7,5,7,8,36.3,4.8,0.6,0,4.7,23,38.5,32.4
2,1997,115808,groundwater,785168.20988402,10752842.898066,1336,tuffsand,71.9,6.89,11,58.67,21,7,1,1.8,1.7,0.08,0.22,1.7,5,6,7.8,36.3,4.8,0.6,0,4.7,23,38.5,32.4
3,1997,115807,groundwater,785175.20988402,10752839.898066,1320,tuffsand,71.9,6.89,11,58.67,21,7,1,1.8,1.7,0.08,0.22,1.7,5,6,6.7,36.3,4.8,0.6,0,4.7,23,38.5,32.4
4,1997,115806,groundwater,785181.20988402,10752842.898066,1300,tuffsand,71.9,6.89,11,58.67,21,7,1,1.8,1.7,0.08,0.22,1.7,5,5.8,7,36.3,4.8,0.6,0,4.7,23,38.5,32.4
5,1997,115805,groundwater,785175.20988402,10752850.898066,1247,tuffsand,71.9,6.89,11,58.67,21,7,1,1.8,1.7,0.08,0.22,1.7,5,6.8,6,36.3,4.8,0.6,0,4.7,23,38.5,32.4
6,1997,115804,groundwater,785180.20988402,10752842.898066,1240,tuffsand,71.9,6.89,11,58.67,21,7,1,1.8,1.7,0.08,0.22,1.7,5,6.7,6.8,36.3,4.8,0.6,0,4.7,23,38.5,32.4
7,1997,115801,groundwater,785175.20988402,10752843.898066,1230,tuffsand,71.9,6.89,11,58.67,21,7,1,1.8,1.7,0.08,0.22,1.7,5,8,8,36.3,4.8,0.6,0,4.7,23,38.5,32.4
8,1997,115802,groundwater,785178.20988402,10752842.898066,1228,tuffsand,71.9,6.89,11,58.67,21,7,1,1.8,1.7,0.08,0.22,1.7,5,8,8,36.3,4.8,0.6,0,4.7,23,38.5,32.4
9,1997,115803,groundwater,785175.20988402,10752848.898066,1225,tuffsand,71.9,6.89,11,58.67,21,7,1,1.8,1.7,0.08,0.22,1.7,5,8.2,8.9,36.3,4.8,0.6,0,4.7,23,38.5,32.4
10,1997,115800,groundwater,785176.20988402,10752842.898066,1200,tuffsand,71.9,6.89,11,58.67,21,7,1,1.8,1.7,0.08,0.22,1.7,5,7,8.6,36.3,4.8,0.6,0,4.7,23,38.5,32.4
11,1997,112003,groundwater,785175.20988402,10752842.898066,1190,tuffsand,71.9,6.89,11,58.67,21,7,1,1.8,1.7,0.08,0.22,1.7,5,6.8,8.8,36.3,4.8,0.6,0,4.7,23,38.5,32.4
12,1997,112004,groundwater,791358.410990657,10754868.208511,1175,tuffsand,131,6.37,10,74.2,22,32,1,5.4,3.9,0.08,0.22,1.6,5.8,10,16.1,0,7.6,0.6,0,5.2,28,38.5,32.4
13,1997,111006,groundwater,779749.809897359,10753920.753428,1150,tuffsand,293,6.14,6.2,126.47,21,43,0.5,18.4,5.4,0.17,0.22,11,14,31.3,23,13.9,19.4,0.5,0,1.2,29,38.5,32.4
14,1997,111044,groundwater,778412.209171393,10755905.51503,1130,tuffsand,122,5.98,6,83.81,23.3,67,0.5,3.2,0.7,0.1,0.22,5.3,6.7,10,12.4,45.3,4.2,2,0,3.2,29,38.5,32.4
15,1997,112012,groundwater,785379.24151581,10756053.091886,1040,tuffsand,427,5.92,4.4,245.73,22.6,75,2,3.8,3.6,0.1,0.22,4.9,7.5,17.9,10.7,0,7.5,0.3,0.02,1.3,54,38.5,32.4
16,1997,214064,groundwater,777881.712359008,10751587.279369,990,breccias,91,5.82,9.6,83.4,22.2,76,0.5,3.4,1,0.1,0.22,4.2,9.5,0,46.4,18.1,3.6,0.9,0.02,0.8,55,38.5,32.4
17,1997,211010,groundwater,790201.394293116,10764157.573,980,tuffsand,204,5.92,7,350.45,24.8,80,2,7.8,4.5,0.1,0.22,1.9,11.1,1.4,54.2,0,11.4,2.8,0,11,40,38.5,32.4
18,1997,211016,groundwater,785246.624399812,10760146.757139,940,tuffsand,462,6.01,6.4,243.16,23.4,50,0.5,6.8,1,0.1,0.22,5.6,9.6,1.5,51,0,2.7,1.3,0.01,2.1,28,38.5,32.4
19,1997,211047,groundwater,779287.080654628,10757791.220499,940,tuffsand,160,6.4,7,95.49,23.5,38,0.5,6.8,1,0.16,0.22,5.6,9.6,1.7,50,0,2.7,1.3,0,2.1,42,38.5,32.4
