no,code,year ,type,x,y,distx,elv,aq,ec,ph,hard,tds,temp,eh,Q,Ca,Mg,Fe,Mn,K,Na,CO3,HCO3,CO2,Cl,SO4,NO2,NO3,SiO2,cumrain,lag1
1,101,1997,groundwater,791358.411,10754868.21,713.8390093,1175,tuffsand,131,6.37,10,74.2,22,32,1,5.4,3.9,0.08,0.22,1.6,5.8,10,16.1,0,7.6,0.6,0,5.2,28,38.5,32.4
2,102,1997,groundwater,790201.3943,10764157.57,1870.855707,980,tuffsand,204,5.92,7,350.45,24.8,80,2,7.8,4.5,0.1,0.22,1.9,11.1,1.4,54.2,0,11.4,2.8,0,11,40,38.5,32.4
3,103,1997,groundwater,790005.7558,10759508.66,2066.494233,650,tuffsand,196,6.18,8.6,173.06,23.7,56,2,2.8,1.9,0.2,0.23,1.2,5.9,6.9,18,9.1,3.6,3.9,0.08,2.3,52,38.5,32.4
4,104,1997,groundwater,789968.6193,10766258.89,2103.630735,740,tuffsand,225,6,12,338,23.1,74,0.5,9.7,4.2,0.08,0.3,1.4,6.6,8.1,24,45.3,24.7,0.3,0,3,37,38.5,32.4
5,105,1997,groundwater,786240.1504,10760484.1,5832.099594,890,tuffsand,441,5.8,7,359.02,23.7,57,0.5,48,20.1,0.16,0.22,7.7,35.2,2.8,51.9,0,111.9,112.2,0,5.3,39,38.5,32.4
6,106,1997,groundwater,785759.9354,10767453.05,6312.314626,705,tuffsand,44,7.01,6.4,371.89,24.2,2,1,21.1,17,0.08,0.23,10,28.4,10.8,177.7,26.8,36.5,33.3,0,0.5,40,38.5,32.4
7,107,1997,groundwater,785379.2415,10756053.09,6693.008484,1040,tuffsand,427,5.92,4.4,245.73,22.6,75,2,3.8,3.6,0.1,0.22,4.9,7.5,17.9,10.7,0,7.5,0.3,0.02,1.3,54,38.5,32.4
8,108,1997,groundwater,785309.9728,10748306.62,6762.277199,765,tuffsand,364,7.03,8,302.47,23.9,37,0.45,28,13.3,0.04,0.22,3.4,23,1.4,177.7,0,25,9.2,0.01,0.4,24,38.5,32.4
9,109,1997,groundwater,785256.7552,10758265.61,6815.494758,890,tuffsand,522,6.5,6.2,238.41,22.9,30,0.3,21,11,0.98,0.22,4.1,27,19,28.7,0,48.8,65.2,0.01,3.6,29,38.5,32.4
10,110,1997,groundwater,785246.6244,10760146.76,6825.6256,940,tuffsand,462,6.01,6.4,243.16,23.4,50,0.5,6.8,1,0.1,0.22,5.6,9.6,1.5,51,0,2.7,1.3,0.01,2.1,28,38.5,32.4
